class,label,source,target,conversion_factors,nominal_value,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### TODOS,,,,,,,,,,,,,,,,,
Replace load (nominal value) with maximum of ENTSO-E load for all countries,,,,,,,,,,,,,,,,,
If time: replace solar and wind feedin for 2014 with real values from OPSD dataset,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,
Source,GL_resource_uranium,GL_resource_uranium,GL_bus_uranium,,,,,4.58,,,,,,,,,
Source,GL_resource_lignite,GL_resource_lignite,GL_bus_lignite,,,,,11.11,,,,,,,,,
Source,GL_resource_coal,GL_resource_hard_coal,GL_bus_hard_coal,,,,,19.19,,,,,,,,,
Source,GL_resource_gas,GL_resource_gas,GL_bus_gas,,,,,27.86,,,,,,,,,
Source,GL_resource_oil,GL_resource_oil,GL_bus_oil,,,,,48.93,,,,,,,,,
Source,GL_resource_mixed_fuels,GL_resource_mixed_fuels,GL_bus_mixed_fuels,,,,,12.78,,,,,,,,,
Source,GL_resource_biomass,GL_resource_biomass,GL_bus_biomass,,,,,20.15,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### NET TRANSFER CAPACITIES,,,,,,,,,,,,,,,,,
LinearTransformer,FR_CH_powerline,FR_CH_powerline,CH_bus_el,0.97,3200,,,,,,,,,,,,
LinearTransformer,FR_CH_powerline,FR_bus_el,FR_CH_powerline,,,,,,,,,,,,,,
LinearTransformer,FR_DE_powerline,FR_DE_powerline,DE_bus_el,0.97,2900,,,,,,,,,,,,
LinearTransformer,FR_DE_powerline,FR_bus_el,FR_DE_powerline,,,,,,,,,,,,,,
LinearTransformer,FR_BE_powerline,FR_BE_powerline,BE_bus_el,0.97,3400,,,,,,,,,,,,
LinearTransformer,FR_BE_powerline,FR_bus_el,FR_BE_powerline,,,,,,,,,,,,,,
LinearTransformer,BE_NL_powerline,BE_NL_powerline,NL_bus_el,0.97,2400,,,,,,,,,,,,
LinearTransformer,BE_NL_powerline,BE_bus_el,BE_NL_powerline,,,,,,,,,,,,,,
LinearTransformer,DE_LU_powerline,DE_LU_powerline,LU_bus_el,0.97,980,,,,,,,,,,,,
LinearTransformer,DE_LU_powerline,DE_bus_el,DE_LU_powerline,,,,,,,,,,,,,,
LinearTransformer,DE_NL_powerline,DE_NL_powerline,NL_bus_el,0.97,3850,,,,,,,,,,,,
LinearTransformer,DE_NL_powerline,DE_bus_el,DE_NL_powerline,,,,,,,,,,,,,,
LinearTransformer,NL_NO_powerline,NL_NO_powerline,NO_bus_el,0.97,700,,,,,,,,,,,,
LinearTransformer,NL_NO_powerline,NL_bus_el,NL_NO_powerline,,,,,,,,,,,,,,
LinearTransformer,DE_DK_powerline,DE_DK_powerline,DK_bus_el,0.97,1500,,,,,,,,,,,,
LinearTransformer,DE_DK_powerline,DE_bus_el,DE_DK_powerline,,,,,,,,,,,,,,
