class,label,source,target,conversion_factors,nominal_value,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### TODOS,,,,,,,,,,,,,,,,,
Replace load (nominal value) with maximum of ENTSO-E load for all countries,,,,,,,,,,,,,,,,,
If time: replace solar and wind feedin for 2014 with real values from OPSD dataset,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,
Source,GL_resource_uranium,GL_resource_uranium,GL_bus_uranium,,,,,3.996,,,,,,,,,
Source,GL_resource_lignite,GL_resource_lignite,GL_bus_lignite,,,,,4.6776,,,,,,,,,
Source,GL_resource_coal,GL_resource_hard_coal,GL_bus_hard_coal,,,,,13.472,,,,,,,,,
Source,GL_resource_gas,GL_resource_gas,GL_bus_gas,,,,,24.4427,,,,,,,,,
Source,GL_resource_oil,GL_resource_oil,GL_bus_oil,,,,,44.4377,,,,,,,,,
Source,GL_resource_mixed_fuels,GL_resource_mixed_fuels,GL_bus_mixed_fuels,,,,,7.167,,,,,,,,,
Source,GL_resource_biomass,GL_resource_biomass,GL_bus_biomass,,,,,20.0263,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,### NET TRANSFER CAPACITIES,,,,,,,,,,,,,,,,
,LinearTransformer,FR_bus_el,FR_DE_powerline,,,,,,,,,,,,,,
,LinearTransformer,FR_DE_powerline,DE_bus_el,0.99,200,,,,,,,,,,,,
,LinearTransformer,DE_bus_el,DE_FR_powerline,,,,,,,,,,,,,,
,LinearTransformer,DE_FR_powerline,FR_bus_el,0.99,200,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### AUSTRIA,,,,,,,,,,,,,,,,,
Sink,AT_excess,AT_bus_el,AT_excess,,,,,1000,,,,,,,,,
Source,AT_shortage,AT_shortage,AT_bus_el,,,,,1000,,,,,,,,,
LinearTransformer,AT_pp_uranium,GL_bus_uranium,AT_pp_uranium,,,,,,,,,,,,,,
LinearTransformer,AT_pp_uranium,AT_pp_uranium,AT_bus_el,0.33,0.00000001,,,0.5,,,,,,,,,
LinearTransformer,AT_pp_lignite,GL_bus_lignite,AT_pp_lignite,,,,,,,,,,,,,,
LinearTransformer,AT_pp_lignite,AT_pp_lignite,AT_bus_el,0.4,0.00000001,,,4.4,,,,,,,,,
LinearTransformer,AT_pp_hard_coal,GL_bus_hard_coal,AT_pp_hard_coal,,,,,,,,,,,,,,
LinearTransformer,AT_pp_hard_coal,AT_pp_hard_coal,AT_bus_el,0.41,0.00000001,,,4,,,,,,,,,
LinearTransformer,AT_pp_gas,GL_bus_gas,AT_pp_gas,,,,,,,,,,,,,,
LinearTransformer,AT_pp_gas,AT_pp_gas,AT_bus_el,0.475,0.00000001,,,1.5,,,,,,,,,
LinearTransformer,AT_pp_oil,GL_bus_oil,AT_pp_oil,,,,,,,,,,,,,,
